Title,Director,Production,Music Composer,Cast,Genre,Release Date,Year
Mayadari Krishnudu,R. Thyagarajan,Devar Films,,Rajinikanth,,,1980
Mogudu Kaavali,Katta Subba Rao,Charitra Chitra,,Chiranjeevi,,,1980
Moodu Mulla Bandham,Muthyala Subbaiah,Gomatha Art Creations,,Sarath Babu,,,1980
Mosagadu,K. Raghavendra Rao,Sri Kranthi Chitra Productions,,Chiranjeevi,,,1980
Nakili Manishi,S. D. Lal,Ravi Chitra,,Chiranjeevi,,,1980
Nayakudu Vinayakudu,K. Pratyagatma,,,Akkineni Nageswara Rao,,,1980
Pilla Zamindar,Singeetham Srinivasa Rao,Annapurna Studios,,Akkineni Nageshwara Rao,,,1980
Prema Kanuka,K. Raghavendra Rao,Annapurna Studios,,Akkineni Nageswara Rao,,,1980
Prema Tarangalu,S. P. Chittibabu,Prabhu Chitra,,Krishnam Raju,,,1980
Punnami Naagu,Rajasekhar,AVM Studios,,Chiranjeevi,,,1980
Rakta Bandham,Aaluri Ravi,Ricoh Films,,Chiranjeevi,,,1980
Ram Robert Rahim,Vijaya Nirmala,,,Rajinikanth,,,1980
Ramudu Parasuramudu,M. S. Gopinath,Suresh Fine Arts,,Sobhan Babu,,,1980
Rowdy Ramudu Konte Krishnudu,K. Raghavendra Rao,,,N. T. Rama Rao,,,1980
Sankarabharanam,K. Viswanath,Purnodaya Art Creations,,J. V. Somayajulu,,,1980
Sannayi Appanna,Lakshmi Deepak,Sri Ramana Chitra,,Sobhan Babu,,,1980
Sarada Ramudu,K. Vasu,,,N. T. Rama Rao,,,1980
Sardar Papa Rayudu,Dasari Narayana Rao,Sri Annapurna International,,N. T. Rama Rao,,,1980
Sirimalle Navvindi,Vijaya Nirmala,,,Krishna,,,1980
Sita Ramulu,Dasari Narayana Rao,Jayakrishna Movies,,Krishnam Raju,,,1980
Srivari Muchatlu,Dasari Narayana Rao,Lakshmi Films Combines,,Akkineni Nageswara Rao,,,1980
Subhodayam,K. Viswanath,Sri Ram Art Pictures,,Chandra Mohan,,,1980
Superman,V. Madhusudhan Rao,,,N. T. Rama Rao,,,1980
Thathayya Premaleelalu,B. V. Prasad,Kaumudi Arts,,Chiranjeevi,,,1980
Tholi Kodi Koosindi,K. Balachander,,,Sarath Babu,,,1980
Yamudu,Amrutha,,,Krishna Ghattamaneni,,,1980
Yedanthasthula Meda,ANR,,,,,,1980
Yuvatharam Kadilindi,Dhavala Satyam,Navatharam Pictures,,Murali Mohan,,,1980
Vamsa Vruksham,Bapu,Drama,,Anil Kapoor,,,1980
Aatmabalam,T. L. V. Prasad,,,Nandamuri Balakrishna,,,1985
Adavi Donga,K. Raghavendra Rao,,Chakravarthy,Chiranjeevi,,,1985
Agni Parvatam,K. Raghavendra Rao,,Chakravarthy,Krishna Ghattamaneni,,,1985
Anveshana,Vamsy,,Ilaiyaraaja,Karthik,,,1985
Babayi-Abbayi,Jandhyala,,,Nandamuri Balakrishna,,,1985
Bangaru Chilaka,Anil Kumar,,S. P. Balasubrahmanyam,Arjun,,,1985
Bhale Thammudu,Paruchuri Brothers,,,Nandamuri Balakrishna,,,1985
Bharyabhartala Bandham,V. B. Rajendra Prasad,,Chakravarthy,Akkineni Nageshwara Rao,,,1985
Bullet,Bapu,,,Krishnam Raju,,,1985
Chattamtho Poratam,Kovelamudi Bapayya,,Chakravarthy,Chiranjeevi,,,1985
Chiranjeevi,C. V. Rajendran,,,Chiranjeevi,,,1985
Dampatyam,A. Kodandarami Reddy,,,ANR,,,1985
Darja Donga,Manivannan,,,Suman,,,1985
Devalayam,T. Krishna,,Chakravarthy,Shoban Babu,,,1985
Donga,A. Kodandarami Reddy,,Chakravarthy,Chiranjeevi,,,1985
Dongala Vetagadu,K. Raghavendra Rao,,Ilaiyaraaja,Kamal Haasan,,,1985
Illale Devata,T. L. V. Prasad,,,ANR,,,1985
Jwala,Raviraja Pinisetty,,Ilaiyaraaja,Chiranjeevi,,,1985
Kattula Kondaiah,S. B. Chakravarthy,,,Nandamuri Balakrishna,,,1985
Kongu Mudi,Vijaya Bapineedu,,S. P. Balasubrahmanyam,Shoban Babu,,,1985
Kotha Pelli Koothuru,K. S. Rami Reddy,,,Chandra Mohan,,,1985
Maa Pallelo Gopaludu,Kodi Ramakrishna,,K. V. Mahadevan,Arjun,,,1985
Maha Manishi,M. Balaiah,,,Krishna Ghattamaneni,,,1985
Maha Sangramam,A. Kodandarami Reddy,,Chakravarthy,Krishna Ghattamaneni,,,1985
Maharaju,Vijaya Bapineedu,,Chakravarthy,Shoban Babu,,,1985
Manthra Dandam,Kommineni Seshagiri Rao,,Chakravarthy,Kanta Rao,,,1985
Mogudu Pellalu,Jandhyala,,Ramesh Naidu,Naresh,,,1985
Muchataga Mugguru,Relangi Narasimha Rao,,K. V. Mahadevan,Chandra Mohan,,,1985
Nyayam Meere Cheppali,G. Rammohan Rao,,,Suman,,,1985
Oka Radha Iddaru Krishnulu,A. Kodandarami Reddy,,Ilaiyaraaja,Kamal Haasan,,,1985
Pachani Kapuram,T. Rama Rao,,Chakravarthy,Krishna Ghattamaneni,,,1985
Palnati Simham,A. Kodandarami Reddy,,Chakravarthy,Krishna Ghattamaneni,,,1985
Pattabhishekam,K. Raghavendra Rao,,,Nandamuri Balakrishna,,,1985
Pratighatana,T. Krishna,,,Vijayshanti,,,1985
Preminchu Pelladu,Vamsy,,Ilaiyaraaja,Rajendra Prasad,,,1985
Puli,Raj Bharat,,,Chiranjeevi,,,1985
Ragile Gundelu,A. Kodandarami Reddy,,Chakravarthy,Mohan Babu,,,1985
Rakta Sindhuram,A. Kodandarami Reddy,,Chakravarthy,Chiranjeevi,,,1985
Sri Datta Darsanam,Kamalakara Kameshwara Rao,,,Sarundaman D. Banerjee,,,1985
Siksha,Relangi Narasimha Rao,,K. V. Mahadevan,Chandra Mohan,,,1985
Sravanthi,Kranthi Kumar,,,Mohan,,,1985
Srivari Shobanam,Jandhyala,,Ramesh Naidu,Naresh,,,1985
Surya Chandra,Vijaya Nirmala,,,Krishna Ghattamaneni,,,1985
Tirugubatu,Dasari Narayana Rao,,,Krishnam Raju,,,1985
Vajrayudham,K. Raghavendra Rao,,Chakravarthy,Krishna Ghattamaneni,,,1985
Vande Mataram,T. Krishna,,Chakravarthy,Rajasekhar,,,1985
Vijetha,A. Kodandarami Reddy,,Chakravarthy,Chiranjeevi,,,1985
Yuvataram Pilicindi,P. Bharatiraja,,,,,,1985
Aatma Bandhuvulu,Dasari Narayana Rao,,,Akkineni Nageswara Rao,,,1987
Ajeyudu,G. Ram Mohan Rao,,,Daggubati Venkatesh,,,1987
Allari Krishnaiah,Nandamuri Ramesh,,,Nandamuri Balakrishna,,,1987
Aradhana,Bharathiraja,,Ilaiyaraaja,Chiranjeevi,,,1987
America Abbayi,Singeetam Srinivasa Rao,,Saluri Rajeswara Rao,Master Shravan Shankar,,,1987
Agni Putrudu,K. Raghavendra Rao,,Chakravarthy,Akkineni Nageshwara Rao,,,1987
Aha Naa-Pellanta!,Jandhyala,,Ramesh Naidu,Rajendra Prasad,,,1987
Aranya Kanda,Kranthi Kumar,,Chakravarthy,Akkineni Nagarjuna,,,1987
Bhale Mogudu,Relangi Narasimha Rao,,,Rajendra Prasad,,,1987
Bhanumati Gari Mogudu,A. Kodandarami Reddy,,Chakravarthy,Balakrishna,,,1987
Bharatamlo Arjunudu,K. Raghavendra Rao,,Chakravarthy,Daggubati Venkatesh,,,1987
Bhargava Ramudu,A. Kodandarami Reddy,,Chakravarthy,Balakrishna,,,1987
Brahma Nayudu,Dasari Narayana Rao,,,Krishnam Raju,,,1987
Chakravarthy,Raviraja Pinisetty,,Chakravarthy,Chiranjeevi,,,1987
Chinnari Devatha,L. Raja,,Chandrabose,Arjun,,,1987
Collector Gari Abbai,B. Gopal,,Chakravarthy,Akkineni Nageshwara Rao,,,1987
Dabbevariki Chedu,Relangi Narasimha Rao,,K. V. Mahadevan,Rajendra Prasad,,,1987
Dammit Katha Addam Thirigindi,K. Vasu,,,Rajendra Prasad,,,1987
Dharmapatni,T. L. V. Prasad,,,Suman,,,1987
Donga Garu Swagatham,G. Ram Mohana Rao,,,Krishna,,,1987
Donga Mogudu,A. Kodandarami Reddy,,Chakravarthy,Chiranjeevi,,,1987
Gandhinagar Rendava Veedhi,P. N. Ramachandra Rao,,,Rajendra Prasad,,,1987
Gundamma Gari Krishnulu,Relangi Narasimha Rao,,K. V. Mahadevan,Rajendra Prasad,,,1987
Jebu Donga,A. Kodandarami Reddy,,Chakravarthy,Chiranjeevi,,,1987
Kaboye Alludu,Relangi Narasimha Rao,,,Rajendra Prasad,,,1987
Kirai Dada,A. Kodandarami Reddy,,Chakravarthy,Akkineni Nagarjuna,,,1987
Lawyer Suhasini,Vamsy,,,Bhanu Chander,,,1987
Lawyer Bharathi Devi,"K. Rama Mohan Rao
",,"
",Sarada,,,1987
Maa Ooru,B. Narsing Rao,,,,,,1987
Maa Voori Magadu,K. Bapaiah,,Chakravarthy,Krishna,,,1987
Madana Gopaludu,P. S. Krishna Mohan Reddy,,,Rajendra Prasad,,,1987
Maharshi,Vamsy,,,Shantipriya,,,1987
Majnu,Dasari Narayana Rao,,Laxmikant–Pyarelal,Akkineni Nagarjuna,,,1987
Makutamleni Maharaju,K. Bapayya,,,Krishna,,,1987
Manmadha Leela Kamaraju Gola,Relangi Narasimha Rao,,,Rajendra Prasad,,,1987
Muddayi,K. S. R. Das,,,Krishna,,,1987
Muddu Bidda,P. Chandrasekhara Reddy,,,Krishna,,,1987
Muvva Gopaludu,Kodi Ramakrishna,,,Nandamuri Balakrishna,,,1987
Naku Pellam Kavali,Vijaya Bapineedu,,Vasu Rao,Rajendra Prasad,,,1987
Pasivadi Pranam,A. Kodandarami Reddy,,Chakravarthy,Chiranjeevi,,,1987
Prema Samrat,Mohan Gandhi,,Satyam,Suman,,,1987
President Gari Abbai,Kodi Ramakrishna,,Chakravarthy,Balakrishna,,,1987
Pushpaka Vimanam,Singeetham Srinivasa Rao,,Ilaiyaraaja,Kamal Hassan,,,1987
Ramu,Y. Nageshwara Rao,,Raj-Koti,Balakrishna,,,1987
Sahasa Samrat,K. Raghavendra Rao,,,Balakrishna,,,1987
Samsaram Oka Chadarangam,S. P. Muthuraman,,,Gollapudi Maruti Rao,,,1987
Sankeertana,Geetha Krishna,,Ilaiyaraaja,Akkineni Nagarjuna,,,1987
Sankharavam,Krishna,,,"Krishna, ",,,1987
Sardar Dharmanna,Barisetty Bhaskara Rao,,,Krishnam Raju,,,1987
Sardar Krishnama Naidu,A. Kodandarami Reddy,,,Krishna,,,1987
Shankar Guru,Raja,,,Arjun Sarja,,,1987
Srimathi Oka Bahumathi,Visu,,Sankar Ganesh,Naresh,,,1987
Srinivasa Kalyanam,Kodi Ramakrishna,,K. V. Mahadevan,Daggubati Venkatesh,,,1987
Sruthilayalu,K. Vishwanath,,K. V. Mahadevan,Rajasekhar,,,1987
Swayamkrushi,K. Vishwanath,,Ramesh Naidu,Chiranjeevi,,,1987
Thandri Kodukula Challenge,M. Mallikarjuna Rao,,,Krishna,,,1987
Thene Manasulu,Rajendra Singh Babu,,,Krishna,,,1987
Trimurtulu,K. Murali Mohan Rao,,,Daggubati Venkatesh,,,1987
Vijetha Vikram,S. S. Ravichandra,,,Daggubati Venkatesh,,,1987
Viswanatha Nayakudu,Dasari Narayana Rao,,J. V. Raghavulu,Mohan Babu,,,1987
Aahuti,Kodi Ramakrishna,,Satyam,Rajasekhar,,,1988
Aakhari Poratam,K. Raghavendra Rao,,Ilaiyaraaja,Akkineni Nagarjuna,,,1988
Abhinandana,Ashok Kumar,,Ilaiyaraaja,Karthik,,,1988
Agni Keratalu,Tatineni Rama Rao,,Chakravarthy,Krishna,,,1988
Antima Teerpu,Joshiy,,,Krishnam Raju,,,1988
Asthulu Anthasthulu,Bairisetty Bhaskara Rao,,,Rajendra Prasad,,,1988
Aswaddhama,B. Gopal,,,Krishna,,,1988
Bava Marudula Saval,C. V. Ganesh,,,Rajendra Prasad,,,1988
Bazaar Rowdy,A. Kodandarami Reddy,,Raj-Koti,"Ramesh Babu, ",,,1988
Bhama Kalapam,Relangi Narasimha Rao,,,Rajendra Prasad,,,1988
Bharatamlo Bala Chandrudu,Kodi Ramakrishna,,,Nandamuri Balakrishna,,,1988
Bharya Bhartala Bhagotham,Mahesh Kumar,,,Rajendra Prasad,,,1988
Brahma Puthrudu,Dasari Narayana Rao,,Chakravarthy,Daggubati Venkatesh,,,1988
Chikkadu Dorakadu,Relangi Narasimha Rao,,Chakravarthy,Rajendra Prasad,,,1988
Chinababu,Mohan Gandhi,,Ilaiyaraaja,Akkineni Nagarjuna,,,1988
Chinnodu Peddodu,Relangi Narasimha Rao,,S. P. Balasubrahmanyam,Rajendra Prasad,,,1988
Choopulu Kalasina Subhavela,Jandhyala,,Rajan-Nagendra,Mohan,,,1988
Chuttalabbayi,Kodi Ramakrishna,,,Krishna,,,1988
Daasi,B. Narsing Rao,,,Archana,,,1988
Donga Kollu,Vijaya Baapineedu,,Vasu Rao,Rajendra Prasad,,,1988
Donga Pelli,Ravi Raja Pinisetty,,,Sobhan Babu,,,1988
Donga Ramudu,K. Raghavendra Rao,,Tulasi,Nandamuri Balakrishna,,,1988
Illu Illalu Pillalu,Visu,,Vijayanand,Chandra Mohan,,,1988
Inspector Pratap,Muthyala Subbaiah,,,Nandamuri Balakrishna,,,1988
Jamadagni,Bharatiraja,,,Ghattamaneni Krishna,,,1988
Janaki Ramudu,K. Raghavendra Rao,,K. V. Mahadevan,Akkineni Nagarjuna,,,1988
Jeevana Ganga,Mouli,,,Rajendra Prasad,,,1988
Jeevana Jyothi,Relangi Narasimha Rao,,,Sarath Babu,,,1988
Jhansi Rani,Satyanand,,,Rajendra Prasad,,,1988
Kallu,M. V. Raghu,,,Sivaji Raja,,,1988
Khaidi No. 786,Vijaya Bapineedu,,Raj-Koti,Chiranjeevi,,,1988
Maa Inti Maharaju,Vijaya Bapineedu,,Vasu Rao,Krishnam Raju,,,1988
Maharshi,Vamsy,,Ilaiyaraaja,Maharshi Raghava,,,1988
Manchi Donga,K. Raghavendra Rao,,Chakravarthy,Chiranjeevi,,,1988
Marana Mrudangam,A. Kodandarami Reddy,,Ilaiyaraaja,Chiranjeevi,,,1988
Mugguru Kodukulu,Krishna,,,"Krishna, ",,,1988
Murali Krishnudu,Kodi Ramakrishna,,,Akkineni Nagarjuna,,,1988
Pelli Chesi Choodu,Relangi Narasimha Rao,,Vasu Rao,Rajendra Prasad,,,1988
Prana Snehithulu,,,,Krishnam Raju,,,1988
Raktabhishekam,A. Kodandarami Reddy,,Ilaiyaraaja,Balakrishna,,,1988
Raktha Tilakam,B. Gopal,,,Daggubati Venkatesh,,,1988
Ramudu Bheemudu,K. Muralimohana Rao,,Raj-Koti,Balakrishna,,,1988
Rao Gari Illu,Tharani Rao,,,Akkineni Nageswara Rao,,,1988
Rowdy No.1,S. S. Ravichandra,,,Krishna,,,1988
Rudraveena,K. Balachandar,,Ilaiyaraaja,Chiranjeevi,,,1988
Sahasam Cheyara Dimbhaka,Relangi Narasimha Rao,,Chakravarthy,Rajendra Prasad,,,1988
Samsaram,Relangi Narasimha Rao,,,Sobhan Babu,,,1988
Sri Kanaka Mahalakshmi Recording Dance Troupe,Vamsy,,Ilaiyaraaja,Naresh,,,1988
Station Master,Kodi Ramakrishna,,Chakravarthy,Rajendra Prasad,,,1988
Swarnakamalam,K. Vishwanath,,Ilaiyaraaja,Daggubati Venkatesh,,,1988
Thodallullu,Relangi Narasimha Rao,,,Rajendra Prasad,,,1988
Tiragabadda Telugubidda,A. Kodandarami Reddy,,,Nandamuri Balakrishna,,,1988
Trinetrudu,A. Kodandarami Reddy,,Raj-Koti,Chiranjeevi,,,1988
Varasudochadu,Mohan Gandhi,,Ilaiyaraaja,Daggubati Venkatesh,,,1988
Vivaha Bhojanambu,Jandhyala,,Raj-Koti,Rajendra Prasad,,,1988
Yamudiki Mogudu,Raviraja Pinisetty,,Raj-Koti,Chiranjeevi,,,1988
Yuddha Bhoomi,K. Raghavendra Rao,,Chakravarthy,Chiranjeevi,,,1988
20va Shatabdam,Kodi Ramakrishna,,J. V. Ragahvulu,Suman,,,1990
Aayudham,K. Murali Mohan Rao,,,Krishna,,,1990
Adadhi,A. Mohan Gandhi,,,Siva Krishna,,,1990
Abhisarika,Dasari Narayana Rao,,,Suresh,,,1990
Adavi Diviteelu,R. Narayana Murthy,,,,,,1990
Aggiramudu,,,Chakravarthy,Venkatesh,,,1990
Agni Sakshi,M. A. Aziz,,,Shobana,,,1990
Alajadi,T. Bharadwaja,,Raj-Koti,Bhanuchander,,,1990
Alludugaru,K. Raghavendra Rao,,K. V. Mahadevan,Mohan Babu,,,1990
Anjali,Mani Ratnam,,Ilaiyaraaja,Raghuvaran,,,1990
Ankitham,Bandaleswara Rao,,,Suresh,,,1990
Ankusam,Kodi Ramakrishna,,,Rajasekhar,,,1990
Anna Thammudu,Krishna,,,Krishna,,,1990
Balachandrudu,Krishna,,,Mahesh Babu,,,1990
Bamma Maata Bangaru Baata,Rajasekhar,,Chandrabose,Rajendra Prasad,,,1990
Bobbili Raja,B. Gopal,,Ilaiyaraaja,Daggubati Venkatesh,,,1990
Chaitanya,Prathap Pothan,,Ilaiyaraaja,Akkineni Nagarjuna,,,1990
Chevilo Puvvu,E. V. V. Satyanarayana,,K. V. Mahadevan,Rajendra Prasad,,,1990
Chinnari Muddula Papa,Vaasi Reddy,,,NTR,,,1990
Dagudumuthala Dampathyam,Relangi Narasimha Rao,,,ANR,,,1990
Guru Sishyulu,Muthuraman,,Ilaiyaraaja,Rajendra Prasad,,,1990
Idem Pellam Baboi,Ravi Teja,,Ilaiyaraaja,Rajendra Prasad,,,1990
Iddaru Iddare,A. Kodandarami Reddy,,Raj-Koti,ANR,,,1990
Inspector Rudra,Krishna Ghattamaneni,,K. V. Mahadevan,Krishna,,,1990
Jagadeka Veerudu Athiloka Sundari,K. Raghavendra Rao,,Ilaiyaraaja,Chiranjeevi,,,1990
Jayammu Nischayammu Raa,Jandhyala,,,Rajendra Prasad,,,1990
Kadapa Redamma,Bharathwaja,,,Mohan Babu,,,1990
Kartavyam,Mohan Gandhi,,,Vijayashanti,,,1990
Kodama Simham,Murali Mohan Rao,,Raj-Koti,Chiranjeevi,,,1990
Kokila,Geetha Krishna,,,Naresh,,,1990
Kondaveeti Donga,A. Kodandarami Reddy,,Ilaiyaraaja,Chiranjeevi,,,1990
Lorry Driver,B. Gopal,,Chakravarthy,Balakrishna,,,1990
Magaadu,K. Madhu,,,Rajasekhar,,,1990
Mahajananiki Maradalu Pilla,Vallabhaneni Jhanardan,,,Rajendra Prasad,,,1990
Mama Alludu,Dasari Narayana Rao,,,Rajendra Prasad,,,1990
Manasu Mamata,Mouli,,M. M. Keeravani,Naresh,,,1990
Master Kapuram,P. N. Ramachandra Rao,,,Rajendra Prasad,,,1990
Matti Manushulu,B. Narsing Rao,,,Archana,,,1990
Mrugathrushna,P. Sambasiva Rao,,,Revathy,,,1990
Muddula Menalludu,Kodi Ramakrishna,,,Nandamuri Balakrishna,,,1990
Nari Nari Naduma Murari,A. Kodandarami Reddy,,K. V. Mahadevan,Balakrishna,,,1990
Navayugam,K. Aditya,,,Rajendra Prasad,,,1990
Neti Siddhartha,Kranthi Kumar,,,Akkineni Nagarjuna,,,1990
Police Bharya,Mohan Gandhi,,,Naresh,,,1990
Prananiki Pranam,Chalasani Rama Rao,,,Nandamuri Balakrishna,,,1990
Prema Khaidi,E. V. V. Satyanarayana,,Rajan-Nagendra,Harish,,,1990
Prema Yuddham,S. V. Rajendra Singh Babu,,,Akkineni Nagarjuna,,,1990
Prema Zindabad,Jandhyala Subramanya Sastry,,,Rajendra Prasad,,,1990
Qaidi Dada,T. L. V. Prasad,,,Suman,,,1990
Raja Vikramarka,Ravi Raja Pinisetty,,Raj-Koti,Chiranjeevi,,,1990
Rambha Rambabu,Relangi Narasimha Rao,,,Rajendra Prasad,,,1990
Rao Gari Intlo Rowdy,Kodi Ramakrishna,,,Akkineni Nageswara Rao,,,1990
Samrajyam,,,,,,,1990
Sathruvu,Kodi Ramakrishna,,Ilaiyaraaja,Venkatesh,,,1990
Udhyamam,K. Ranga Rao,,,Bhanuchander,,,1990
Yamadharma Raju,Ravi Raja Pinisetty,,Raj-Koti,Mohan Babu,,,1990
Yauvana Poratham,,,,,,,1990
Yuvabharatham,M. S. Gopinath,,,,,,1990
Aada Pilla,K. Vasu,,,"Harish, Kinnera",Romance,,1991
Aagraham,K. S. Ravikumar,,,Rajasekhar,Action,,1991
Aditya 369,Singeetham Sreenivasa Rao,,,Balakrishna,Action,,1991
Alludu Diddina Kapuram,Krishna Ghattamaneni,,,Krishna,Comedy Drama,,1991
Amma,Suresh Krissna,,,Sharat Babu,Drama,,1991
Amma Kadupu Challaga,Boyini Subbarao,,,Prashanth,Drama,,1991
Amma Rajinama,Dasari Narayana Rao,,,Sharada,Drama,,1991
Appula Appa Rao,E. V. V. Satyanarayana,,,Rajendra Prasad,Comedy,,1991
April 1 Vidudala,Vamsy,,,Rajendra Prasad,"Comedy, Drama",,1991
Assembly Rowdy,B. Gopal,,,Mohan Babu,Action,,1991
Ashwini,Ramoji Rao,,,Bhanuchander,Sports,,1991
Athiradhudu,A. Chandra,,,Bhanuchander,Romance,,1991
Athma Bandham,Sunil Varma,,,Suman,Drama,,1991
Attintlo Adde Mogudu,Relangi Narasimha Rao,,,Rajendra Prasad,Comedy,,1991
Bharat Bandh,Kodi Ramakrishna,,,"Vinod Kumar, ",Action,,1991
Bhargava,R. S. Ramaraju,,,Suman,Action,,1991
Brahmarshi Vishwamitra,NTR,,,NTR,Fiction,,1991
Chanti,Raviraja Pinishetti,,,Daggubati Venkatesh,Drama,,1991
Chitram Bhalare Vichitram,P N Ramachander Rao,,,Naresh,Comedy,,1991
Coolie No. 1,K. Raghavendra Rao,,,Daggubati Venkatesh,Action,,1991
Edu Kondalaswamy,,,,,,,1991
Edurinti Mogudu Pakkinti Pellam,Relangi Narasimha Rao,,,Rajendra Prasad,,,1991
Gang Leader,Vijaya Baapineedu,,,Chiranjeevi,,,1991
Iddaru Pellala Muddula Police,Relangi Narasimha Rao,,,Rajendra Prasad,,,1991
Indra Bhavanam,,,,Krishna,,,1991
Jaitra Yatra,Uppalapati Narayana Rao,,,Akkineni Nagarjuna,,,1991
Kalikalam,Muthyala Subbaiah,,,Chandra Mohan,,,1991
Karthavyam,,,,Vijayashanti,,,1991
Keechu Raallu,Geetha Krishna,,,Bhanu Chander,,,1991
Kobbari Bondam,S. V. Krishnareddy,,,Rajendra Prasad,,,1991
Kshana Kshanam,Ram Gopal Varma,,,Daggubati Venkatesh,,,1991
Madhura Nagarilo,Kodi Ramakrishna,,,"Suresh, Meena",,,1991
Mamagaru,Muthyala Subbaiah,,,"Vinod Kumar, ",,,1991
Minor Raja,Katragadda Ravi Teja,,,Rajendra Prasad,,,1991
Naa Ille Naa Swargam,,,,Krishna,,,1991
Naa Pellam Naa Ishtam,,,,,,,1991
Nagastharam ,,,,"Krishna, ",,,1991
Nayakuralu,,,,,,,1991
Nirnayam,Priyadarshan,,,Akkineni Nagarjuna,,,1991
Niyantha,Dasari Narayana Rao,,,Vinod Kumar,,,1991
Pandirimancham,Omkar,,,Jagapathi Babu,,,1991
Parama Sivudu,,,,,,,1991
Parishkaram,Taruni,,,Jagapati Babu,,,1991
Peddintalludu,Sarath,,,Suman,,,1991
Pelli Pustakam,Bapu,,,Rajendra Prasad,,,1991
People's Encounter,Mohan Gandhi,,,Meka Srikanth,,,1991
Prardhana,,,,Suresh,,,1991
Prema Entha Madhuram,,,,,,,1991
Prema Thapassu,Dr. N. Shiva Prasad,,,Rajendra Prasad,,,1991
Ramudu Kadu Rakshasudu,,,,Suman,,,1991
Rowdy Alludu,K. Raghavendra Rao,,,Chiranjeevi,,,1991
Rowdy Gaari Pellam,K. S. Prakash Rao,,,Mohan Babu,,,1991
Sarpayagam,Parchuri brothers,,,Sobhan Babu,Drama,,1991
Seetharamayya Gari Manavaralu,Krathi Kumar,,,ANR,,,1991
Shanti Kranti,V. Ravichandran,,,Nagarjuna Akkineni,Musical,,1991
Siva Shakthi,,,,"Prabhu, Karthik",,,1991
Sri Edukondala Swaami,,,,,,,1991
Stuartpuram Police Station,Yandamuri Veerendranath,,,Chiranjeevi,,,1991
Surya IPS,A. Kodandarami Reddy,,,Daggubati Venkatesh,,,1991
Talli Tandrulu,Tatineni Rama Rao,,,Nandamuri Balakrishna,Drama,,1991
Teneteega,M. Nanda Kumar,,,Rajendra Prasad,,,1991
Vichitra Prema,Jandhyala Subramanya Sastry,,,Rajendra Prasad,,,1991
Yerra Mandaram,,,,Rajendra Prasad,,,1991
Yugantam,,,,,,,1991
Aa Okkati Adakku,E. V. V. Satyanarayana,,Ilaiyaraaja,Rajendra Prasad,,,1992
Aapadbandhavudu,K. Vishwanath,,M. M. Keeravani,Chiranjeevi,,,1992
Adharsham,Mouli,,M. M. Keeravani,Jagapathi Babu,,,1992
Adrushtam,Mouli,,Anand–Milind,Naresh,,,1992
Agreement,Manivannan,,M. M. Keeravani,Nagendra Babu,,,1992
Ahankari,Dasari Narayana Rao,,Raj-Koti,Rajasekhar,,,1992
Akka Mogudu,Kranthi Kumar,,Raj-Koti,Rajasekhar,,,1992
Alexander,K. Ranga Rao,,Raj-Koti,Suman,,,1992
Allari Mogudu,K. Raghavendra Rao,,M. M. Keeravani,Mohan Babu,,,1992
Allari Pilla,Kodi Ramakrishna,,Vidyasagar,Suresh,,,1992
Ankuram,Uma Maheshwara Rao,,Hamsalekha,Sarath Babu,,,1992
Antham,Ram Gopal Varma,,R. D. Burman,Nagarjuna Akkineni,,,1992
Appula Appa Rao,E. V. V. Satyanarayana,,Rajan–Nagendra,Rajendra Prasad,,,1992
Asadhyulu,Joemon,,,Jagapathi Babu,,,1992
Aswamedham,K. Raghavendra Rao,,Ilaiyaraaja,Balakrishna Nandamuri,,,1992
Atta Sommu Alludu Danam,Y. Nageswara Rao,,,"Vinod Kumar, ",,,1992
Ayyayyo Brahamayya,Akella,,B. R. Suresh,Naresh,,,1992
Babai Hotel,Jandhyala Subramanya Sastry,,Suresh,Brahmanandam,,,1992
Balarama Krishnulu,Ravi Raja Pinisetty,,Raj-Koti,Shoban Babu,,,1992
Bangaru Mama,,,Raj-Koti,"Vinod Kumar, ",,,1992
Bhadram Koduko,Akkineni Kutumba Rao,,,Santhosh Reddy,,,1992
Bhale Khaideelu,,,,Nirosha,,,1992
Brundavanam,Singeetam Srinivasa Rao,,Madhavapeddi Suresh,Rajendra Prasad,,,1992
Chakravyuham,Balu Mahendra,,,Suman,,,1992
Champion,Y. Nageswara Rao,,Vidyasagar,Vinod Kumar,,,1992
Chanti,Ravi Raja Pinisetty,,Ilaiyaraaja,Daggubati Venkatesh,,,1992
Chillara Mogudu Allari Koduku,Relangi Narasimha Rao,,Vidyasagar,Chandra Mohan,,,1992
Chinarayudu,B. Gopal,,Ilaiyaraaja,Daggubati Venkatesh,,,1992
Chitram Bhalare Vichitram,P N Ramachandra Rao,,Vidyasagar,Naresh,,,1992
Chittemma Mogudu,A. Kodandarami Reddy,,,Mohan Babu,,,1992
Collectorgari Alludu,Sarath,,Raj-Koti,Suman,,,1992
College Bullodu,Sarath,,Raj-Koti,Akkineni Nageswara Rao,,,1992
Dabbu Bhale Jabbu,K. Rajendra,,,"Raj Kumar, ",,,1992
Dharma Kshetram,Kodandarami Reddy,,Ilaiyaraaja,Balakrishna Nandamuri,,,1992
Doctor Ambedkar,,,,,,,1992
Donga Police,K. S. Prakash Rao,,Bappi Lahiri,Mohan Babu,,,1992
